Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 32, 0.191395, 0.158406, N/A, 0.00175512, 0.00195805, 0.0923971, 0.00573856, 2, 2, 4, 8, 1, 1, 66.6944, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1010, 1, 1, 16, 0.206146, 0.173215, N/A, 0.00067457, 0.00114976, 0.0395016, 0.00268209, 1, 2, 1, 4, 1, 1, 70.7919, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
